name;price;countInStock;color;category;description;brand;image;rating;numReviews
Beach Shorts;40;1;Black;Clothing;Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.;adidas;/images/product_1_bike_shorts.jpg;4.5;35
Five Ten Kestrel Lace Mountain Bike Shoes;150;5;Grey;Shoes;Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.;adidas;/images/product_2_five_ten_Kestrel_lace_mountain_bike_shoes.jpg;4.8;4
Mexico Away Jersey;70;7;White;Clothing;Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.;adidas;/images/product_3_Mexico_Away_jersey.jpg;4.9;42
Five Ten Hiangle Pro Competition Climbing Shoes;160;4;Black;Shoes;The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.;adidas;/images/product_4_hiangle_pro_shoes.jpg;3.7;7
Mesh Broken-Stripe Polo Shirt;65;1;Blue;Clothing;Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste.;adidas;/images/product_5_mesh_broken_stripe_polo_shirt.jpg;4.7;11
EQT Spikeless Golf Shoes;110;3;Grey;Shoes;Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.;adidas;/images/product_6_EQT_Spikeless_Golf_Shoes.jpg;4.9;30
Adicross Hybrid Shorts;80;2;Black;Clothing;On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next.;adidas;/images/product_7_adicross_hybrid_shorts.jpg;4.5;17
Tiro 21 Windbreaker;60;9;Black;Clothing;You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline. This product is made with recycled content as part of our ambition to end plastic waste.;adidas;/images/product_8_tiro_21_windbreaker.jpg;4.5;16
Classic 3-Stripes Swimsuit;40;9;Black;Clothing;You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.;adidas;/images/product_9_classic_3Stripes_swimsuit.jpg;4.5;35
Formotion Sculpt Biker Short Tights;60;7;Black;Clothing;Sometimes confidence comes in a surprising form. These adidas short tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive FORMOTION design follows your natural movement for a better fit and greater comfort in motion. A high-rise waist helps you focus, even before class begins.;adidas;/images/product_10_formation_sculpt_biker_short_tights.jpg;4.4;26
